title,cast,return
"Lock, Stock and Two Smoking Barrels",Jason Flemyng,2.8870881481481483
La estrategia del caracol,,0
Young Einstein,Yahoo Serious,0
Flight Command,Robert Taylor,0
Hounded,Kostja Ullmann,0
Mona Lisa,Bob Hoskins,0
Bloodwork,Travis Van Winkle,0
The Saint,Val Kilmer,1.7362250588235295
The Great Los Angeles Earthquake,Joanna Kerns,0
Mr. Thank You,Kaoru Futaba,0
Desperation,Steven Weber,0
Dumb and Dumber To,Jim Carrey,4.24592525
The Giant Mechanical Man,Jenna Fischer,0
Behind Enemy Lines II: Axis of Evil,Matt Bushell,0
American Animal,Brendan Fletcher,0
Wild Seven,Robert Forster,0
Son of a Lion,Niaz Khan Shinwari,0
Blackout,James Mitchum,0
See No Evil,Michael J. Pagan,0.0
An American Haunting,Donald Sutherland,0
El tren de la memoria,Josefina Cembrero,0
Silent Waters,Kirron Kher,0
Black Gunn,Jim Brown,0
Nazis at the Center of the Earth,Dominique Swain,0
Brother Bear,Joaquin Phoenix,0.0
Brother Bear 2,Patrick Dempsey,0
Abominable,Matt McCoy,0
Survival Quest,Lance Henriksen,0
Cursed,Portia de Rossi,0.5512828857142857
The Art of Dying,Fele Martínez,0
Peggy Sue Got Married,Nicolas Cage,2.299046722222222
A Nightmare on Elm Street Part 2: Freddy's Revenge,Robert Englund,9.999737666666666
Heartbreak Ridge,Clint Eastwood,2.8482678
Mars,Nana Kiknadze,0.0
Ghosts of Mars,Natasha Henstridge,0.5003868571428571
No Way Home,James Russo,0
The Wraith,Charlie Sheen,1.2962962962962963
London in the Raw,David Gell,0
Life Is All You Get,Jürgen Vogel,0
Outpost: Black Sun,Catherine Steadman,0.0
Return Home,Dennis Coard,0
Mannequin,Andrew McCarthy,7.120199333333334
Julian Po,Christian Slater,0
Beauty and the Beast,Paige O'Hara,15.09402212
Baby Snakes,Frank Zappa,0
The Secret of My Success,Michael J. Fox,9.249739916666666
Another Way,Grażyna Szapołowska,0
The Pacifier,Vin Diesel,2.01798
How Much Wood Would a Woodchuck Chuck,Werner Herzog,0.0
Dragnet,Dan Aykroyd,3.3336758
My Sister's Keeper,Cameron Diaz,3.1904958333333333
"I, Frankenstein",Aaron Eckhart,1.0946860307692308
Act of Violence,Vinzenz Kiefer,0
Gertie the Dinosaur,Winsor McCay,0
"Winsor McCay, the Famous Cartoonist of the N.Y. Herald and His Moving Comics",Winsor McCay,0
Just My Luck,Lindsay Lohan,1.36285375
Tussenland,,0
Quartet,W. Somerset Maugham,0
Unleashed,Jet Li,1.1304691777777778
Game of Werewolves,Carlos Areces,0
A Letter to Momo,Karen Miyama,0
Harold's Going Stiff,Stan Rowe,0
Comforting Skin,Victoria Bidewell,0
Eddie: The Sleepwalking Cannibal,Thure Lindhardt,0
Honey,Jessica Alba,3.480375722222222
My Avatar and Me,Mikkel Stolt,0
Black Sun,Valeria Golino,0
Very Bad Things,Jon Favreau,0.3299470666666667
Ain't in It for My Health: A Film About Levon Helm,Levon Helm,0
Good Luck Chuck,Dane Cook,2.36768512
Van Wilder 2: The Rise of Taj,Kal Penn,0
Just Friends,Ryan Reynolds,0
High Heels and Low Lifes,Minnie Driver,0
Nicky's Family,Ben Abeles,0
100 Girls,Jonathan Tucker,0
Sylvia,Carroll Baker,0
7 Dwarves: The Forest Is Not Enough,Mirco Nontschew,0
The Hunt for Eagle One: Crash Point,Theresa Randle,0
Miss Congeniality 2: Armed and Fabulous,Sandra Bullock,0
Captain America: The Winter Soldier,Chris Evans,4.204509247058824
Over Your Cities Grass Will Grow,,0
Broken,Eric Colvin,0.0
Demoted,Sean Astin,0
Gabriel Over the White House,Walter Huston,0
My Lucky Stars,Sammo Hung,0
District B13,David Belle,0.7986775833333334
Trapped in the Closet: Chapters 1-12,R. Kelly,0
Blueberry,Vincent Cassel,0.0
The Christian Revolt,Hashizo Okawa,0
They Have Changed Their Face,Adolfo Celi,0
The Messenger: The Story of Joan of Arc,Milla Jovovich,1.11627195
Stealth,Josh Lucas,0.5698736518518519
Attack Force,Steven Seagal,0
Scarlett,Joanne Whalley,0
The Devil's Carnival,Sean Patrick Flanery,0.0
Get Over It,Kirsten Dunst,0.0
Avenue Montaigne,Cécile de France,0
Dragonfly,Kevin Costner,0.87204
Thunder Rock,Michael Redgrave,0
The War Against Mrs. Hadley,Edward Arnold,0
Lola Versus,Greta Gerwig,0
When a Stranger Calls,Camilla Belle,4.4644658
Sun Kissed,,0.0
Spy Kids,Alexa PenaVega,4.226690857142857
The Kill Hole,Chadwick Boseman,0.0
Officer Down,Stephen Lang,0.0
Room 6,Christine Taylor,0
Killer's Kiss,Frank Silvera,0.0
Floating,Norman Reedus,0
The Three Musketeers,Charlie Sheen,1.7966281666666666
The Hand,,0
The Book of Fate,Juha-Pekka Mikkola,0
Get Rich or Die Tryin',50 Cent,1.1610632
December 7th,Walter Huston,0
Escape from L.A.,Kurt Russell,0.8455473
The Breed,Michelle Rodriguez,0
Always Leave Them Laughing,Milton Berle,0
Counting Backwards,,0
Edison,Morgan Freeman,0
The Amityville Horror,Ryan Reynolds,5.686691105263158
Four Sided Triangle,Barbara Payton,0
House of Wax,Elisha Cuthbert,1.719153025
Terror Is a Man,Francis Lederer,0
Shark Swarm,Daryl Hannah,0
The Shaggy Dog,Tim Allen,1.22225832
The Witchmaker,Anthony Eisley,0
Nine 1/2 Weeks,Mickey Rourke,0.39623070588235293
Shanghai,Abhay Deol,0
Dragon Eyes,Jean-Claude Van Damme,0.0
Stay Alive,Jon Foster,3.011677222222222
Feast,Balthazar Getty,0
The Brothers Solomon,Will Arnett,0
A Nightmare on Elm Street 3: Dream Warriors,Robert Englund,8.9586444
Date Movie,Alyson Hannigan,2.4274213
Hot Rod,Andy Samberg,0
Hitler's Madman,Patricia Morison,0
Blood and Chocolate,Agnes Bruckner,0
A Sound of Thunder,Heike Makatsch,0.0748705
The Black Torment,Heather Sears,0
Company: Original Cast Album,Stephen Sondheim,0
Magicians,David Mitchell,0
"Khrustalyov, My Car!",Yuriy Tsurilo,0
That still Karloson!,Mikhail Galustyan,2.484567
"Walking, Walking",Alberto Fumigalli,0
The Principal,Jim Belushi,0
The Laughing Woman,Dagmar Lassander,0
Koch Brothers Exposed,Bernie Sanders,0
Nazty Nuisance,Bobby Watson,0
Chely Wright: Wish Me Away,Chely Wright,0
This is What Love in Action Looks Like,,0
No Way Out,Kevin Costner,2.367301
Radiostars,Manu Payet,0
Unrest,Joshua Alba,0
Man Bites Dog,Benoît Poelvoorde,0
Man to Man,Joseph Fiennes,0
Closed Circuit,Tony Kendall,0
Evil Bong,David Weidoff,0
The Mayor of Hell,James Cagney,0.0
North Sea Texas,Jelle Florizoone,0
Reno 911!: Miami,Lennie Loftin,2.0342161
Tender Comrade,Ginger Rogers,0
Crows and Sparrows,,0
Cry_Wolf,Julian Morris,10.047674
Way of Blue Sky,Mikako Tabe,0
The Return,Adam Scott,0.7994676
Gone,Scott Mechlowicz,0
13 Going on 30,Jennifer Garner,2.6069107297297296
The Tiger's Tail,Brendan Gleeson,0
Deadline,Helena Bergström,0
Just Looking,Gretchen Mol,0.0
The Kid,Charlie Chaplin,10.0
Leon: The Professional,Jean Reno,2.830310875
Liverpool,Juan Fernández,0
La Grande Bouffe,Marcello Mastroianni,0
I Love Hong Kong 2012,Stanley Fung,0
The Alley Tramp,Julia Ames,0
Windstruck,Jang Hyuk,0
The Golden Blade,Rock Hudson,0
Saints and Soldiers,Larry Bagby,0.0
The Millionaire Tour,Dominic Monaghan,0
Firehouse Dog,Josh Hutcherson,0
The White Dragon,Cecilia Cheung,0
Empire of the Sun,Christian Bale,0.6353913142857143
Confetti,Martin Freeman,0
The Aristocats,Phil Harris,13.91881425
Beijing Taxi,,0
Class of '61,Clive Owen,0
A Connecticut Yankee in King Arthur's Court,Keshia Knight Pulliam,0
Stick It,Jeff Bridges,0
Shinobi: Heart Under Blade,Yukie Nakama,0
