crew,return,title,release_date,budget,revenue
Guy Ritchie,2.8870881481481483,"Lock, Stock and Two Smoking Barrels",1998-03-05,1350000.0,3897569.0
Salvatore Basile,0,La estrategia del caracol,1993-12-25,0.0,0.0
Yahoo Serious,0,Young Einstein,1988-12-15,0.0,0.0
Frank Borzage,0,Flight Command,1940-12-27,0.0,0.0
Angelina Maccarone,0,Hounded,2006-08-06,0.0,0.0
Roger Pratt,0,Mona Lisa,1986-06-13,0.0,5794184.0
Eric Wostenberg,0,Bloodwork,2012-05-10,0.0,0.0
Phillip Noyce,1.7362250588235295,The Saint,1997-04-03,68000000.0,118063304.0
William Bast,0,The Great Los Angeles Earthquake,1990-11-11,0.0,0.0
Yasunari Kawabata,0,Mr. Thank You,1936-02-27,0.0,0.0
Christian Sebaldt,0,Desperation,2006-05-23,0.0,0.0
Matthew F. Leonetti,4.24592525,Dumb and Dumber To,2014-11-12,40000000.0,169837010.0
Michael Cowan,0,The Giant Mechanical Man,2012-04-27,0.0,0.0
Pinar Toprak,0,Behind Enemy Lines II: Axis of Evil,2006-10-17,0.0,0.0
Matt D'Elia,0,American Animal,2012-05-18,0.0,0.0
George Costello,0,Wild Seven,2006-01-01,0.0,0.0
Benjamin Gilmour,0,Son of a Lion,2007-10-06,0.0,0.0
Eddy Matalon,0,Blackout,1978-08-25,0.0,0.0
Peter Block,0.0,See No Evil,2006-05-19,8000000.0,0.0
Richard Comeau,0,An American Haunting,2005-05-05,0.0,0.0
Marta Arribas,0,El tren de la memoria,2005-04-27,0.0,0.0
Sabiha Sumar,0,Silent Waters,2003-08-15,0.0,0.0
Robert Hartford-Davis,0,Black Gunn,1972-12-20,0.0,0.0
David Michael Latt,0,Nazis at the Center of the Earth,2012-04-23,0.0,0.0
Aaron Blaise,0.0,Brother Bear,2003-10-23,100000000.0,0.0
Doug Jackson,0,Brother Bear 2,2006-08-17,0.0,0.0
Junie Lowry-Johnson,0,Abominable,2006-04-10,0.0,0.0
Don Coscarelli,0,Survival Quest,1988-09-09,0.0,0.0
Lisa Beach,0.5512828857142857,Cursed,2005-02-25,35000000.0,19294901.0
Álvaro Fernández Armero,0,The Art of Dying,2000-05-31,0.0,0.0
Francis Ford Coppola,2.299046722222222,Peggy Sue Got Married,1986-10-05,18000000.0,41382841.0
Ray Lykins,9.999737666666666,A Nightmare on Elm Street Part 2: Freddy's Revenge,1985-10-31,3000000.0,29999213.0
Clint Eastwood,2.8482678,Heartbreak Ridge,1986-12-15,15000000.0,42724017.0
Anna Melikyan,0.0,Mars,2004-11-11,2000000.0,0.0
John Carpenter,0.5003868571428571,Ghosts of Mars,2001-08-24,28000000.0,14010832.0
Buddy Giovinazzo,0,No Way Home,1996-09-01,0.0,0.0
Ilene Starger,1.2962962962962963,The Wraith,1986-11-21,2700000.0,3500000.0
Arnold L. Miller,0,London in the Raw,1965-04-23,0.0,0.0
Tom Tykwer,0,Life Is All You Get,1997-03-20,0.0,0.0
Chris Gill,0.0,Outpost: Black Sun,2012-01-01,3000000.0,0.0
Ray Argall,0,Return Home,1990-08-02,0.0,0.0
Michael Gottlieb,7.120199333333334,Mannequin,1987-02-13,6000000.0,42721196.0
Alan Wade,0,Julian Po,1997-09-05,0.0,0.0
Gary Trousdale,15.09402212,Beauty and the Beast,1991-11-13,25000000.0,377350553.0
Frank Zappa,0,Baby Snakes,1979-12-21,0.0,0.0
Herbert Ross,9.249739916666666,The Secret of My Success,1987-04-10,12000000.0,110996879.0
Tamás Vayer,0,Another Way,1982-05-01,0.0,0.0
Christopher Greenbury,2.01798,The Pacifier,2005-03-04,56000000.0,113006880.0
Thomas Mauch,0.0,How Much Wood Would a Woodchuck Chuck,1976-10-30,34000.0,0.0
Dan Aykroyd,3.3336758,Dragnet,1987-06-25,20000000.0,66673516.0
Alan Heim,3.1904958333333333,My Sister's Keeper,2009-06-26,30000000.0,95714875.0
Stuart Beattie,1.0946860307692308,"I, Frankenstein",2014-01-22,65000000.0,71154592.0
Mathias Prause,0,Act of Violence,2008-01-16,0.0,0.0
Winsor McCay,0,Gertie the Dinosaur,1914-09-15,0.0,0.0
Winsor McCay,0,"Winsor McCay, the Famous Cartoonist of the N.Y. Herald and His Moving Comics",1911-04-08,0.0,0.0
Arnon Milchan,1.36285375,Just My Luck,2006-05-12,28000000.0,38159905.0
Eugenie Jansen,0,Tussenland,2002-04-27,0.0,0.0
W. Somerset Maugham,0,Quartet,1948-10-26,0.0,0.0
Luc Besson,1.1304691777777778,Unleashed,2005-02-02,45000000.0,50871113.0
Nacho Ruiz Capillas,0,Game of Werewolves,2011-10-07,0.0,0.0
Hiroyuki Okiura,0,A Letter to Momo,2012-04-21,0.0,6748712.0
Keith Wright,0,Harold's Going Stiff,2011-05-06,0.0,0.0
Derek Franson,0,Comforting Skin,2011-10-10,0.0,0.0
Jonathan Rannells,0,Eddie: The Sleepwalking Cannibal,2012-04-22,0.0,1632.0
Mark Helfrich,3.480375722222222,Honey,2003-11-24,18000000.0,62646763.0
Bente Milton,0,My Avatar and Me,2010-11-10,0.0,0.0
Wojciech Kilar,0,Black Sun,2007-06-15,0.0,0.0
Christian Slater,0.3299470666666667,Very Bad Things,1998-09-11,30000000.0,9898412.0
Jacob Hatley,0,Ain't in It for My Health: A Film About Levon Helm,2010-11-24,0.0,0.0
Matthew Barry,2.36768512,Good Luck Chuck,2007-09-21,25000000.0,59192128.0
Peter Abrams,0,Van Wilder 2: The Rise of Taj,2006-12-01,0.0,6086508.0
Chris Bender,0,Just Friends,2005-11-23,0.0,50817508.0
Nicky Kentish Barnes,0,High Heels and Low Lifes,2001-07-16,0.0,0.0
Matej Minac,0,Nicky's Family,2011-01-04,0.0,0.0
Michael Davis,0,100 Girls,2000-09-01,0.0,0.0
Howard Fast,0,Sylvia,1965-02-10,0.0,0.0
Andreas Grosch,0,7 Dwarves: The Forest Is Not Enough,2006-10-25,0.0,0.0
Michael Henry Carter,0,The Hunt for Eagle One: Crash Point,2006-06-27,0.0,0.0
Bruce Berman,0,Miss Congeniality 2: Armed and Fabulous,2005-03-11,0.0,0.0
Sarah Finn,4.204509247058824,Captain America: The Winter Soldier,2014-03-20,170000000.0,714766572.0
Sophie Fiennes,0,Over Your Cities Grass Will Grow,2011-10-27,0.0,0.0
Adam Mason,0.0,Broken,2006-01-01,810000.0,0.0
J.B. Rogers,0,Demoted,2011-03-12,0.0,0.0
Basil Wrangell,0,Gabriel Over the White House,1933-03-31,0.0,0.0
Arthur Wong,0,My Lucky Stars,1985-02-10,0.0,0.0
Luc Besson,0.7986775833333334,District B13,2004-11-09,12000000.0,9584131.0
R. Kelly,0,Trapped in the Closet: Chapters 1-12,2005-11-01,0.0,0.0
Louis DiGiaimo,0.0,Blueberry,2004-02-09,53000000.0,0.0
Nagisa Ōshima,0,The Christian Revolt,1962-03-21,0.0,0.0
Corrado Farina,0,They Have Changed Their Face,1971-07-02,0.0,0.0
