,release_date,title
0,1995-10-30,Toy Story
1,1995-12-15,Jumanji
2,1995-12-22,Grumpier Old Men
3,1995-12-22,Waiting to Exhale
4,1995-02-10,Father of the Bride Part II
5,1995-12-15,Heat
6,1995-12-15,Sabrina
7,1995-12-22,Tom and Huck
8,1995-12-22,Sudden Death
9,1995-11-16,GoldenEye
10,1995-11-17,The American President
11,1995-12-22,Dracula: Dead and Loving It
12,1995-12-22,Balto
13,1995-12-22,Nixon
14,1995-12-22,Cutthroat Island
15,1995-11-22,Casino
16,1995-12-13,Sense and Sensibility
17,1995-12-09,Four Rooms
18,1995-11-10,Ace Ventura: When Nature Calls
19,1995-11-21,Money Train
20,1995-10-20,Get Shorty
21,1995-10-27,Copycat
22,1995-10-06,Assassins
23,1995-10-27,Powder
24,1995-10-27,Leaving Las Vegas
25,1995-12-15,Othello
26,1995-10-20,Now and Then
27,1995-09-27,Persuasion
28,1995-05-16,The City of Lost Children
29,1995-04-30,Shanghai Triad
30,1995-08-11,Dangerous Minds
31,1995-12-29,Twelve Monkeys
32,1996-09-18,Wings of Courage
33,1995-07-18,Babe
34,1995-11-08,Carrington
35,1995-12-29,Dead Man Walking
36,1995-10-20,Across the Sea of Time
37,1995-11-17,It Takes Two
38,1995-07-19,Clueless
39,1995-12-15,"Cry, the Beloved Country"
40,1995-12-29,Richard III
41,1995-10-06,Dead Presidents
42,1995-12-29,Restoration
43,1995-08-18,Mortal Kombat
44,1995-05-20,To Die For
45,1995-10-06,How To Make An American Quilt
46,1995-09-22,Se7en
47,1995-06-14,Pocahontas
48,1995-05-05,When Night Is Falling
49,1995-07-19,The Usual Suspects
50,1994-11-22,Guardian Angel
51,1995-09-13,Mighty Aphrodite
52,1994-01-01,Lamerica
53,1995-09-29,The Big Green
54,1995-05-19,Georgia
55,1997-07-08,Kids of the Round Table
56,1995-11-02,Home for the Holidays
57,1994-09-22,The Postman
58,1995-09-29,The Confessional
59,1995-07-14,The Indian in the Cupboard
60,1996-01-12,Eye for an Eye
61,1995-12-29,Mr. Holland's Opus
62,1996-01-12,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
63,1996-01-12,Two If by Sea
64,1996-01-12,Bio-Dome
65,1996-01-12,Lawnmower Man 2: Beyond Cyberspace
66,1995-10-22,Two Bits
67,1995-02-08,French Twist
68,1995-04-26,Friday
69,1996-01-19,From Dusk Till Dawn
70,1995-11-03,Fair Game
71,1995-10-06,Kicking and Screaming
72,1995-03-22,Les Miserables
73,1996-01-26,Bed of Roses
74,1996-01-26,Big Bully
75,1995-09-08,Screamers
76,1995-02-18,Nico Icon
77,1995-11-15,The Crossing Guard
78,1996-02-02,The Juror
79,1995-01-01,The White Balloon
80,1995-12-01,Things to Do in Denver When You're Dead
81,1995-09-12,Antonia's Line
82,1996-01-26,Once Upon a Time... When We Were Colored
83,1995-11-22,Last Summer in the Hamptons
84,1995-09-10,Angels and Insects
85,1996-02-02,White Squall
86,1996-01-12,Dunston Checks In
87,1996-02-01,Black Sheep
88,1995-11-22,Nick of Time
89,1995-09-14,The Journey of August King
90,1996-02-23,Mary Reilly
91,1995-10-26,Vampire in Brooklyn
92,1996-02-09,Beautiful Girls
93,1996-02-09,Broken Arrow
94,1995-12-01,A Midwinter's Tale
95,1995-05-31,La Haine
96,1994-12-06,Shopping
97,1995-12-27,Heidi Fleiss: Hollywood Madam
98,1996-02-16,City Hall
99,1996-02-21,Bottle Rocket
100,1996-02-16,Mr. Wrong
101,1996-02-23,Unforgettable
102,1996-02-16,Happy Gilmore
103,1995-05-28,The Bridges of Madison County
104,1994-11-07,Nobody Loves Me
105,1996-02-16,Muppet Treasure Island
106,1995-12-08,Catwalk
107,1995-05-20,Headless Body in Topless Bar
108,1995-05-24,Braveheart
109,1976-02-07,Taxi Driver
110,1995-01-30,Rumble in the Bronx
111,1996-02-23,Before and After
112,1995-09-13,Margaret's Museum
113,1995-01-31,Happiness Is in the Field
114,1995-06-08,Anne Frank Remembered
115,1995-01-20,The Young Poisoner's Handbook
116,1996-03-08,If Lucy Fell
117,1995-09-29,Steal Big Steal Little
118,1996-03-22,Race the Sun
119,1992-12-06,The Boys of St. Vincent
120,1992-06-30,Boomerang
121,1994-07-14,Chungking Express
122,1995-09-21,The Star Maker
123,1996-03-22,Flirting with Disaster
124,1994-10-26,The Neverending Story III: Escape from Fantasia
125,1994-09-30,The Silences of the Palace
126,1995-01-01,Jupiter's Wife
127,1996-02-09,Pie in the Sky
128,1995-01-01,Angela
129,1995-11-22,Frankie Starlight
130,1995-10-13,Jade
131,1995-08-16,Nueba Yol
132,1995-08-01,Sonic Outlaws
133,1996-03-01,Down Periscope
134,1995-09-08,From the Journals of Jean Seberg
135,1995-09-15,Man of the Year
136,1995-08-23,The Neon Bible
