title,release_year,vote_average,vote_count
Toy Story,1995,7.7,5415.0
Jumanji,1995,6.9,2413.0
Grumpier Old Men,1995,6.5,92.0
Waiting to Exhale,1995,6.1,34.0
Father of the Bride Part II,1995,5.7,173.0
Heat,1995,7.7,1886.0
Sabrina,1995,6.2,141.0
Tom and Huck,1995,5.4,45.0
Sudden Death,1995,5.5,174.0
GoldenEye,1995,6.6,1194.0
The American President,1995,6.5,199.0
Dracula: Dead and Loving It,1995,5.7,210.0
Balto,1995,7.1,423.0
Nixon,1995,7.1,72.0
Cutthroat Island,1995,5.7,137.0
Casino,1995,7.8,1343.0
Sense and Sensibility,1995,7.2,364.0
Four Rooms,1995,6.5,539.0
Ace Ventura: When Nature Calls,1995,6.1,1128.0
Money Train,1995,5.4,224.0
Get Shorty,1995,6.4,305.0
Copycat,1995,6.5,199.0
Assassins,1995,6.0,394.0
Powder,1995,6.3,143.0
Leaving Las Vegas,1995,7.1,365.0
Othello,1995,7.0,33.0
Now and Then,1995,6.6,91.0
Persuasion,1995,7.4,36.0
The City of Lost Children,1995,7.6,308.0
Shanghai Triad,1995,6.5,17.0
Dangerous Minds,1995,6.4,249.0
Twelve Monkeys,1995,7.4,2470.0
Wings of Courage,1996,6.8,4.0
Babe,1995,6.0,756.0
Carrington,1995,6.4,16.0
Dead Man Walking,1995,7.3,350.0
Across the Sea of Time,1995,3.5,2.0
It Takes Two,1995,6.1,149.0
Clueless,1995,6.9,828.0
"Cry, the Beloved Country",1995,6.7,13.0
Richard III,1995,6.9,50.0
Dead Presidents,1995,6.6,80.0
Restoration,1995,6.3,30.0
Mortal Kombat,1995,5.4,452.0
To Die For,1995,6.7,177.0
How To Make An American Quilt,1995,6.5,38.0
Se7en,1995,8.1,5915.0
Pocahontas,1995,6.7,1509.0
When Night Is Falling,1995,5.9,10.0
The Usual Suspects,1995,8.1,3334.0
Guardian Angel,1994,6.3,3.0
Mighty Aphrodite,1995,6.7,145.0
Lamerica,1994,7.7,11.0
The Big Green,1995,5.2,41.0
Georgia,1995,6.1,15.0
Kids of the Round Table,1997,3.0,1.0
Home for the Holidays,1995,6.3,39.0
The Postman,1994,7.6,181.0
The Confessional,1995,6.5,2.0
The Indian in the Cupboard,1995,5.9,136.0
Eye for an Eye,1996,5.8,65.0
Mr. Holland's Opus,1995,6.9,115.0
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,6.2,192.0
Two If by Sea,1996,4.5,14.0
Bio-Dome,1996,4.4,110.0
Lawnmower Man 2: Beyond Cyberspace,1996,2.8,32.0
Two Bits,1995,5.4,11.0
French Twist,1995,6.0,43.0
Friday,1995,7.0,513.0
From Dusk Till Dawn,1996,6.9,1644.0
Fair Game,1995,4.1,54.0
Kicking and Screaming,1995,7.0,36.0
Les Miserables,1995,6.6,8.0
Bed of Roses,1996,5.1,27.0
Big Bully,1996,3.9,16.0
Screamers,1995,6.1,154.0
Nico Icon,1995,7.3,3.0
The Crossing Guard,1995,6.1,74.0
The Juror,1996,5.5,91.0
The White Balloon,1995,7.5,20.0
Things to Do in Denver When You're Dead,1995,6.7,87.0
Antonia's Line,1995,7.2,26.0
Once Upon a Time... When We Were Colored,1996,4.5,2.0
Last Summer in the Hamptons,1995,0.0,0.0
Angels and Insects,1995,6.3,17.0
White Squall,1996,6.3,86.0
Dunston Checks In,1996,5.1,59.0
Black Sheep,1996,6.0,124.0
Nick of Time,1995,6.1,190.0
The Journey of August King,1995,6.7,3.0
Mary Reilly,1996,5.7,77.0
Vampire in Brooklyn,1995,4.5,113.0
Beautiful Girls,1996,6.6,103.0
Broken Arrow,1996,5.7,459.0
A Midwinter's Tale,1995,7.5,6.0
La Haine,1995,7.9,695.0
Shopping,1994,5.6,13.0
Heidi Fleiss: Hollywood Madam,1995,6.8,4.0
City Hall,1996,6.0,67.0
Bottle Rocket,1996,6.8,285.0
Mr. Wrong,1996,3.3,16.0
Unforgettable,1996,5.3,22.0
Happy Gilmore,1996,6.5,767.0
The Bridges of Madison County,1995,7.3,397.0
Nobody Loves Me,1994,5.1,5.0
Muppet Treasure Island,1996,6.5,93.0
Catwalk,1995,7.0,2.0
Headless Body in Topless Bar,1995,0.0,0.0
Braveheart,1995,7.7,3404.0
Taxi Driver,1976,8.1,2632.0
Rumble in the Bronx,1995,6.5,245.0
Before and After,1996,5.8,37.0
Margaret's Museum,1995,7.5,2.0
Happiness Is in the Field,1995,7.0,23.0
Anne Frank Remembered,1995,7.3,4.0
The Young Poisoner's Handbook,1995,6.9,19.0
If Lucy Fell,1996,5.4,11.0
Steal Big Steal Little,1995,5.1,7.0
Race the Sun,1996,5.2,21.0
The Boys of St. Vincent,1992,7.0,7.0
Boomerang,1992,5.4,139.0
Chungking Express,1994,7.9,249.0
The Star Maker,1995,6.8,29.0
Flirting with Disaster,1996,6.3,66.0
The Neverending Story III: Escape from Fantasia,1994,4.4,105.0
The Silences of the Palace,1994,4.3,3.0
Jupiter's Wife,1995,0.0,0.0
Pie in the Sky,1996,7.0,2.0
Angela,1995,5.6,9.0
Frankie Starlight,1995,5.4,4.0
Jade,1995,5.1,45.0
Nueba Yol,1995,5.5,1.0
Sonic Outlaws,1995,0.0,0.0
Down Periscope,1996,5.6,110.0
From the Journals of Jean Seberg,1995,6.5,2.0
Man of the Year,1995,3.8,2.0
The Neon Bible,1995,7.2,5.0
Target,1995,0.0,0.0
Up Close & Personal,1996,5.9,51.0
The Birdcage,1996,6.7,303.0
Virgin Mary,1995,7.0,2.0
The Brothers McMullen,1995,6.3,23.0
Bad Boys,1995,6.5,1729.0
The Amazing Panda Adventure,1995,5.0,31.0
The Basketball Diaries,1995,7.2,472.0
An Awfully Big Adventure,1995,6.0,11.0
Amateur,1994,6.5,21.0
Apollo 13,1995,7.3,1637.0
Rob Roy,1995,6.5,151.0
The Addiction,1995,6.4,46.0
Batman Forever,1995,5.2,1529.0
Belle de Jour,1967,7.3,163.0
Beyond Rangoon,1995,6.4,21.0
Blue in the Face,1995,6.8,28.0
Canadian Bacon,1995,5.9,57.0
Casper,1995,6.0,1045.0
Clockers,1995,6.8,69.0
Congo,1995,5.0,214.0
Crimson Tide,1995,7.0,508.0
Crumb,1994,7.6,71.0
Desperado,1995,6.8,898.0
Devil in a Blue Dress,1995,6.3,88.0
Die Hard: With a Vengeance,1995,6.9,2094.0
The Doom Generation,1995,5.6,57.0
Feast of July,1995,0.0,0.0
First Knight,1995,5.9,319.0
Free Willy 2 - The Adventure Home,1995,5.5,130.0
Hackers,1995,6.2,406.0
Jeffrey,1995,6.5,19.0
Johnny Mnemonic,1995,5.5,380.0
Judge Dredd,1995,5.4,643.0
Jury Duty,1995,4.0,34.0
Kids,1995,6.8,280.0
Living in Oblivion,1995,7.2,64.0
Lord of Illusions,1995,5.9,87.0
Love & Human Remains,1993,7.0,7.0
Mad Love,1995,5.5,27.0
Mallrats,1995,6.8,400.0
Mighty Morphin Power Rangers: The Movie,1995,5.2,153.0
Moonlight and Valentino,1995,5.6,10.0
Mute Witness,1995,6.4,36.0
Nadja,1994,5.9,12.0
The Net,1995,5.6,359.0
Nine Months,1995,5.5,171.0
Party Girl,1995,5.8,14.0
The Prophecy,1995,6.4,139.0
Reckless,1995,10.0,1.0
Safe,1995,7.2,62.0
The Scarlet Letter,1995,5.5,111.0
The Show,1995,5.3,2.0
Showgirls,1995,4.9,261.0
Smoke,1995,7.2,115.0
Something to Talk About,1995,5.7,60.0
Species,1995,5.5,457.0
The Stars Fell on Henrietta,1995,6.6,6.0
Strange Days,1995,6.8,334.0
The Umbrellas of Cherbourg,1964,7.6,119.0
The Tie That Binds,1995,4.6,9.0
Three Wishes,1995,6.1,18.0
Total Eclipse,1995,6.5,112.0
"To Wong Foo, Thanks for Everything! Julie Newmar",1995,6.3,117.0
Under Siege 2: Dark Territory,1995,5.6,217.0
Unstrung Heroes,1995,6.4,9.0
Unzipped,1995,6.0,6.0
A Walk in the Clouds,1995,6.5,168.0
Waterworld,1995,5.9,1017.0
White Man's Burden,1995,5.1,25.0
Wild Bill,1995,5.9,27.0
The Browning Version,1994,6.0,11.0
Bushwhacked,1995,4.9,29.0
Burnt by the Sun,1994,6.7,35.0
Before the Rain,1994,7.7,45.0
Before Sunrise,1995,7.7,984.0
